id,sentence
550341,oraec2830-1
10090,oraec2830-1
64750,oraec2830-1
855668,oraec2830-1
33560,oraec11156-1
110360,oraec11156-1
80890,oraec11156-1
91900,oraec11156-1
850806,oraec1363-11
46050,oraec1363-11
89850,oraec1363-11
10050,oraec1363-11
850806,oraec1363-11
26870,oraec3626-1
550445,oraec3626-1
91900,oraec3626-1
850787,oraec3626-1
550341,oraec3626-1
70310,oraec4527-1
64440,oraec163-17
10110,oraec163-17
167790,oraec163-17
21930,oraec163-17
10030,oraec163-17
68390,oraec163-17
64360,oraec163-17
119140,oraec163-17
10110,oraec163-17
78870,oraec163-17
10030,oraec163-17
550092,oraec163-17
850787,oraec163-17
191,oraec163-17
850814,oraec163-17
64360,oraec163-17
550096,oraec163-17
107520,oraec163-17
44350,oraec163-17
10050,oraec163-17
851427,oraec163-23
167790,oraec163-23
851809,oraec163-23
78870,oraec163-23
10030,oraec163-23
81660,oraec163-23
125510,oraec163-23
550087,oraec163-23
64360,oraec163-23
550089,oraec163-23
64440,oraec163-23
10110,oraec163-23
850806,oraec163-23
10030,oraec163-23
78870,oraec163-23
10050,oraec163-23
41470,oraec163-23
61160,oraec163-23
93,oraec163-23
44150,oraec163-23
64360,oraec163-23
550096,oraec163-23
122580,oraec163-23
109870,oraec163-23
10030,oraec163-23
163760,oraec163-23
136480,oraec163-23
64360,oraec163-23
550096,oraec163-23
110440,oraec163-23
850815,oraec163-23
78870,oraec163-23
123930,oraec163-23
10050,oraec163-23
92430,oraec163-23
45720,oraec163-23
851427,oraec163-23
167790,oraec163-23
851809,oraec163-23
78870,oraec163-23
10030,oraec163-23
81660,oraec163-23
125510,oraec163-23
550087,oraec163-23
64360,oraec163-23
550089,oraec163-23
64440,oraec163-23
10110,oraec163-23
850806,oraec163-23
109870,oraec163-23
10030,oraec163-23
78870,oraec163-23
10050,oraec163-23
41470,oraec163-23
61160,oraec163-23
93,oraec163-23
44150,oraec163-23
64360,oraec163-23
550096,oraec163-23
122580,oraec163-23
10030,oraec163-23
163760,oraec163-23
136480,oraec163-23
64360,oraec163-23
550096,oraec163-23
110440,oraec163-23
850815,oraec163-23
78870,oraec163-23
123930,oraec163-23
10050,oraec163-23
92430,oraec163-23
45720,oraec163-23
851427,oraec163-31
550123,oraec163-31
2,oraec163-31
10110,oraec163-31
78870,oraec163-31
10030,oraec163-31
550096,oraec163-31
44150,oraec163-31
64360,oraec163-31
550096,oraec163-31
66150,oraec163-31
851961,oraec163-31
109870,oraec163-31
10030,oraec163-31
78870,oraec163-31
10110,oraec163-31
127770,oraec163-31
851427,oraec163-31
550123,oraec163-31
2,oraec163-31
109870,oraec163-31
10110,oraec163-31
78870,oraec163-31
10030,oraec163-31
550096,oraec163-31
44150,oraec163-31
64360,oraec163-31
550096,oraec163-31
66150,oraec163-31
851961,oraec163-31
10030,oraec163-31
78870,oraec163-31
10110,oraec163-31
127770,oraec163-31
111510,oraec362-4
49460,oraec362-4
400982,oraec362-4
119180,oraec362-4
400976,oraec362-4
850238,oraec362-4
850787,oraec362-4
113110,oraec362-4
168810,oraec362-4
110300,oraec362-4
162930,oraec362-4
107,oraec362-4
156950,oraec362-4
71170,oraec362-4
30750,oraec362-4
81660,oraec362-4
550034,oraec362-4
400114,oraec362-4
168810,oraec362-4
400114,oraec362-4
850787,oraec362-4
60220,oraec362-4
71660,oraec362-4
178850,oraec362-4
64360,oraec362-4
60220,oraec362-4
49460,oraec362-4
107190,oraec362-4
850787,oraec362-4
851920,oraec362-4
185590,oraec362-4
112300,oraec362-4
109540,oraec362-4
156230,oraec362-4
73210,oraec362-4
854577,oraec362-4
45640,oraec362-4
92560,oraec362-4
850787,oraec362-4
400015,oraec362-4
854591,oraec362-4
10050,oraec362-4
160330,oraec362-4
850787,oraec362-4
90260,oraec362-4
81660,oraec362-4
64360,oraec362-4
109330,oraec362-4
400546,oraec362-4
44570,oraec362-4
171190,oraec362-4
58820,oraec362-4
103300,oraec362-4
850787,oraec362-4
58710,oraec362-4
35330,oraec362-4
850787,oraec362-4
852204,oraec362-4
162930,oraec362-4
22160,oraec362-4
35870,oraec362-4
114300,oraec362-4
181650,oraec362-4
92640,oraec362-4
107,oraec362-4
168810,oraec362-4
850787,oraec362-4
110300,oraec362-4
39090,oraec362-4
183850,oraec362-4
850787,oraec362-4
400976,oraec362-4
72470,oraec362-4
203,oraec362-4
46710,oraec362-4
24640,oraec362-4
21881,oraec239-4
851809,oraec239-4
10030,oraec239-4
66620,oraec239-4
500142,oraec239-4
91900,oraec239-4
50600,oraec239-4
854589,oraec239-4
23290,oraec239-4
851711,oraec239-4
91900,oraec239-4
115330,oraec239-4
20030,oraec67-145
400015,oraec67-145
25830,oraec67-145
62420,oraec67-145
64360,oraec67-145
33080,oraec67-145
10050,oraec67-145
854500,oraec67-145
64360,oraec67-145
227,oraec67-145
10050,oraec67-145
82530,oraec67-145
107520,oraec67-145
54320,oraec67-145
10050,oraec67-145
146360,oraec67-145
107520,oraec67-145
851537,oraec67-145
851711,oraec67-145
174480,oraec67-145
64360,oraec67-145
99260,oraec67-145
850787,oraec67-145
92560,oraec67-145
10050,oraec67-145
141250,oraec67-145
168970,oraec67-145
64360,oraec67-145
20880,oraec67-145
10050,oraec67-145
86430,oraec67-145
10110,oraec67-145
66750,oraec67-145
851449,oraec67-145
90260,oraec67-145
851522,oraec67-145
450158,oraec67-145
400452,oraec67-145
29610,oraec67-145
46050,oraec67-145
27700,oraec67-145
10060,oraec67-145
64360,oraec67-145
854523,oraec67-145
74300,oraec67-145
167920,oraec67-145
59880,oraec67-145
850787,oraec67-145
850342,oraec67-145
851427,oraec67-148
167790,oraec67-148
167920,oraec67-148
59880,oraec67-148
850787,oraec67-148
850342,oraec67-148
167920,oraec67-148
851517,oraec67-148
850787,oraec67-148
88300,oraec67-148
78870,oraec67-148
119890,oraec67-148
21881,oraec76-6
10030,oraec76-6
95620,oraec76-6
174900,oraec76-6
95620,oraec76-6
94700,oraec76-6
10110,oraec76-6
95620,oraec76-6
94700,oraec76-6
850787,oraec76-6
851446,oraec76-6
90260,oraec76-6
850814,oraec76-6
850787,oraec76-6
46050,oraec76-6
850800,oraec76-6
10110,oraec76-6
64360,oraec76-6
851546,oraec76-6
172360,oraec76-6
850787,oraec76-6
66650,oraec76-6
38530,oraec76-6
64360,oraec76-6
28510,oraec76-6
182900,oraec76-6
128840,oraec76-6
64360,oraec76-6
137250,oraec76-6
10100,oraec76-6
99060,oraec76-6
851522,oraec76-6
850787,oraec76-6
162560,oraec76-6
64750,oraec76-6
850648,oraec76-6
21881,oraec162-5
10030,oraec162-5
95620,oraec162-5
94700,oraec162-5
10110,oraec162-5
95620,oraec162-5
94700,oraec162-5
850787,oraec162-5
851446,oraec162-5
90260,oraec162-5
850814,oraec162-5
46050,oraec162-5
850800,oraec162-5
10110,oraec162-5
64360,oraec162-5
49870,oraec162-5
172360,oraec162-5
850787,oraec162-5
66650,oraec162-5
38530,oraec162-5
64360,oraec162-5
126390,oraec162-5
10090,oraec162-5
37500,oraec162-5
137250,oraec162-5
10100,oraec162-5
99060,oraec162-5
851522,oraec162-5
850787,oraec162-5
78030,oraec162-5
64750,oraec162-5
850648,oraec162-5
850806,oraec237-21
88040,oraec237-21
80210,oraec237-21
107520,oraec237-21
30750,oraec237-21
10050,oraec237-21
850806,oraec237-21
95620,oraec237-21
163220,oraec237-21
10050,oraec237-21
185810,oraec520-39
116910,oraec520-39
59920,oraec520-39
185810,oraec520-45
116910,oraec520-45
59920,oraec520-45
185810,oraec520-52
116910,oraec520-52
59920,oraec520-52
185810,oraec520-56
116910,oraec520-56
59920,oraec520-56
185810,oraec520-61
116910,oraec520-61
59920,oraec520-61
185810,oraec520-65
116910,oraec520-65
59920,oraec520-65
21881,oraec1236-23
129490,oraec1236-23
185290,oraec1236-23
64360,oraec1236-23
60920,oraec1236-23
97350,oraec1236-23
650025,oraec1236-23
850787,oraec1236-23
93320,oraec1236-23
28250,oraec1451-51
10030,oraec1451-51
66270,oraec1451-51
10100,oraec1451-51
64371,oraec1451-51
851266,oraec1451-51
500925,oraec1451-51
167920,oraec1451-51
851522,oraec1451-51
850787,oraec1451-51
35990,oraec1451-51
21881,oraec101-5
10030,oraec101-5
95620,oraec101-5
174900,oraec101-5
95620,oraec101-5
94700,oraec101-5
10110,oraec101-5
95620,oraec101-5
94700,oraec101-5
850787,oraec101-5
90260,oraec101-5
850814,oraec101-5
46050,oraec101-5
850800,oraec101-5
10110,oraec101-5
64360,oraec101-5
851546,oraec101-5
38530,oraec101-5
64360,oraec101-5
126390,oraec101-5
182900,oraec101-5
128840,oraec101-5
64360,oraec101-5
137250,oraec101-5
10100,oraec101-5
99060,oraec101-5
851522,oraec101-5
850787,oraec101-5
162660,oraec101-5
64750,oraec101-5
850648,oraec101-5
