ORAEC,Trismegistos Text
oraec2,111740
oraec3,48496
oraec4,218348
oraec5,57080
oraec7,380900
oraec8,57559
oraec9,381199
oraec10,57774
oraec11,48496
oraec12,57505
oraec14,57559
oraec15,111307
oraec16,56591
oraec17,755016
oraec19,755015
oraec23,755220
oraec24,755220
oraec25,380655
oraec27,57080
oraec28,56077
oraec29,755220
oraec30,755226
oraec31,57792
oraec32,755220
oraec36,755250
oraec37,381089
oraec38,57080
oraec39,805869
oraec40,372072
oraec41,703143
oraec44,57080
oraec47,701207
oraec49,755010
oraec51,381214
oraec52,755220
oraec53,102113
oraec54,755220
oraec55,755254
oraec60,48496
oraec61,218347
oraec63,380902
oraec64,381152
oraec67,134299
oraec69,755220
oraec71,57080
oraec73,381206
oraec74,701207
oraec75,755017
oraec76,134299
oraec77,380888
oraec78,130723
oraec79,56591
oraec83,57489
oraec84,381089
oraec86,805963
oraec88,755220
oraec89,755220
oraec90,58499
oraec91,805869
oraec96,101271
oraec97,57080
oraec100,381083
oraec101,134267
oraec102,381200
oraec104,755018
oraec106,755022
oraec108,755220
oraec110,380868
oraec114,134267
oraec115,755009
oraec117,137859
oraec121,139332
oraec127,58499
oraec128,381274
oraec129,134286
oraec130,134299
oraec132,48496
oraec133,380683
oraec134,381085
oraec135,755220
oraec136,134267
oraec137,381198
oraec138,134299
oraec141,755220
oraec147,380901
oraec148,57201
oraec150,755000
oraec152,380849
oraec155,755220
oraec158,755075
oraec159,57201
oraec161,57201
oraec162,134265
oraec163,754999
oraec165,134267
oraec169,381084
oraec173,755231
oraec176,755220
oraec177,381233
oraec181,134299
oraec184,755220
oraec186,57201
oraec189,134267
oraec190,322162
oraec197,381287
oraec200,134299
oraec201,134308
oraec203,755220
oraec213,57201
oraec215,755049
oraec217,874146
oraec219,755220
oraec220,134267
oraec223,380868
oraec224,134267
oraec230,755220
oraec232,755089
oraec233,380849
oraec234,755220
oraec237,755084
oraec238,381085
oraec240,755243
oraec241,381233
oraec243,139335
oraec244,48496
oraec248,755075
oraec249,134299
oraec250,57201
oraec252,381088
oraec256,134515
oraec260,56996
oraec261,139413
oraec262,755239
oraec265,57201
oraec267,755194
oraec269,139422
oraec271,134299
oraec273,57201
oraec277,134299
oraec278,380655
oraec280,381085
oraec282,755220
oraec288,755239
oraec290,381085
oraec293,380683
oraec294,381085
oraec295,134265
oraec296,380901
oraec297,134315
oraec300,380901
oraec303,380868
oraec305,57201
oraec313,755075
oraec314,755220
oraec317,381233
oraec318,322162
oraec319,755250
oraec320,381085
oraec321,381088
oraec324,139421
oraec330,380868
oraec331,134513
oraec332,139351
oraec336,134299
oraec337,381233
oraec339,56875
oraec343,134513
oraec344,381233
oraec346,139463
oraec351,393224
oraec353,56877
oraec354,322164
oraec355,381206
oraec357,134265
oraec358,755220
oraec359,57201
oraec360,380655
oraec363,381088
oraec364,139461
oraec369,755220
oraec370,139300
oraec374,134515
oraec375,139484
oraec382,381290
oraec384,134515
oraec390,134306
oraec391,755220
oraec396,874146
oraec399,970719
oraec401,755091
oraec402,380655
oraec408,701206
oraec409,57201
oraec410,57201
oraec411,139462
