Burkhard Backes	Q53844553
Susanne Beck	Q112536973
Peter Dils	Q111568754
Roland Enmarch	Q87256660
Stefan Grunert	Q112503919
Ingelore Hafemann	Q113781187
Anne Herzberg	Q113761113
Renata Landgrafova	Q84571820
Verena Lepper	Q1619476
Lutz Popko	Q112520215
Stephan Seidlmayer	Q2343850
Gunnar Sperveslage	Q99393802
Susanne Töpfer	Q108338072
Altägyptisches Wörterbuch	Q4737065
7QKSXYEUCFHNBCFOS7XUZFGCJU	Q220276
I3U2PPJRONEWZDZE3DPBLRH35Y	Q174367
KVW4S6I4ZRECNMJTM6FFTFLMYI	Q220256
ATAYWXKNBVHT3FWOC65D5273BU	Q220244
DBDBZEFDGZGGBMERHVKJ6PMPHQ	Q177819
WCVSHAEC7ZA4FKQOWR4E2GC6OM	Q211001
HOX5L57VFFDMTBCTWJNSHQ3OJA	Q189371
IS52YO4UPBG6ZO5BFFVWJ26OWY	Q161904
4SJRB25AURBUZMSZBBXRRHDO3A	Q209397
4XVWKCUISJDA5OWB724D2CPBRI	Q199861
WEB5KGYGWJFUTDVTZP5PO5GBOY	Q200986
B6LUZDUOMJDC3G3JVUHHECQCAM	Q220252
PPBZN6VP2ZEXPAUZOK3ST3SO3M	Q204252
RI3TSGKXUFCE3HV43BX2N2MJVE	Q269237
WM77TXYU2VAYJJGYHPUZPZXSGA	Q268614
3X3HIVLWDVCHVM7OKEQG4RIKIA	Q243692
E3KJFINUWJGZHI3ROCURKZQF2Q	Q268576
F2WUXBPF6ND7ZAEU4GIZTIBOQ4	Q269200
SC4IKOXD5NFI7B6FO3LGEM4P34	Q269257
KQY2F5SJVBBN7GRO5WUXKG5M6M	Q269247
VXCXYJF7QFDKHG4XNG7B7JSOIM	Q244985
GH2RXLTQ2BCEHPQ6R2SPBER7OM	Q269979
JDHTPUAWMZBCZJDBBD2JP4PAD4	Q269285
EBTM44JP7NA5BBJ4XXKU7RMX7Y	Q258637
